Coin,TotalTrades,TotalPnL,AveragePnL,MedianPnL,MaximumPnL,MinimumPnL,TotalVolumeUSD,AverageTradeSize,WinRate,UniqueTraders
LTC,191,5626.143524,29.456248816753927,0.890358,1403.6708,0.0,343217.55,1796.9505235602094,58.63874345549738,3
SPX,90,5612.831099,62.36478998888889,5.330404,1027.55016,-0.14013,289426.51,3215.8501111111113,77.77777777777779,2
MAVIA,205,5577.479884,27.207218946341467,2.674266,720.85,0.0,257227.89,1254.7701951219512,70.73170731707317,2
@109,20,5414.08414,270.704207,318.7655625,715.174945,0.0,5670.66,283.533,70.0,4
ILV,159,5309.104755,33.39059594339623,0.0,1159.02984,-69.5729,319713.52,2010.776855345912,40.25157232704403,4
PENGU,914,5117.164928,5.598648717724289,0.0,341.0,-358.82546,1008585.8,1103.4855579868708,41.2472647702407,6
TNSR,686,5019.439795,7.316967631195336,0.0,249.88946,-14.77938,413737.94,603.1165306122449,40.2332361516035,2
AAVE,579,4949.369384,8.548133651122624,0.0,1545.740362,-959.90329,1092191.36,1886.3408635578585,31.951640759930918,6
@142,335,4826.391083,14.40713756119403,0.0,3107.619785,-540.253351,1414171.4,4221.407164179104,30.149253731343283,7
VINE,811,4777.252708,5.890570540073982,0.0,386.265526,-62.31912,676727.95,834.4364364981503,38.964241676942045,3
CHILLGUY,215,4727.794586,21.989742260465118,1.97432,275.74446,-57.663273,266880.32,1241.3038139534883,55.81395348837209,5
ZETA,245,4622.601501,18.86776122857143,8.539524,247.8594,-13.155237,313968.58,1281.5044081632655,92.65306122448979,2
MEME,93,4572.871601,49.17066237634408,1.834482,540.40336,0.0,167456.47,1800.6072043010752,51.61290322580645,3
XRP,1774,3756.901464999999,2.117757308342728,0.0,6742.9208,-3252.36395,5343210.53,3011.9563303269447,32.2435174746336,13
TST,165,3357.994369,20.351481024242425,0.56,646.87128,-2057.35002,490758.53,2974.2941212121214,55.757575757575765,1
BLUR,76,3330.420965,43.821328486842106,4.004105,988.50236,-0.01479,174461.95,2295.5519736842107,76.31578947368422,3
POPCAT,389,3245.212945,8.34244973007712,0.0,578.49774,-38.4507,336281.52,864.4769151670952,34.70437017994858,5
IP,469,3043.288104,6.488887215351813,0.204668,335.91707,-180.096334,477338.87,1017.7801066098081,54.37100213219617,5
COMP,95,2814.398024,29.625242357894738,0.563388,401.45784,-8.855453,113669.31,1196.519052631579,60.0,3
ACE,25,2760.71491,110.4285964,131.6067,164.3395,0.0,72261.42,2890.4568,92.0,1
MOVE,122,2562.894536,21.00733226229508,4.7165300000000006,473.99264,-103.682961,130978.56,1073.5947540983607,74.59016393442623,3
@59,46,2557.105607,55.58925232608696,0.0,598.760441,0.0,24622.53,535.2723913043478,17.391304347826086,2
